%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1777733655008316040,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655058604955,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655108741998,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655158974885,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655209012985,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655258989095,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655309084892,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655359232902,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655409327030,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655459455013,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655509550094,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655559748888,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733655602291107,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655652297019,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655702377080,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655752319097,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655802731990,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655852782011,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655902775049,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733655952768087,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656003134965,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656053145885,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656103298902,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656153489112,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656203640937,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656253616094,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656303761005,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656354147911,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656404095888,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656454221963,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656504285097,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656554488897,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656604826927,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656654788970,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656704850912,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656754959106,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656805218935,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656855194091,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656905364990,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733656955581903,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657005846977,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657055783033,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657105820894,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657155925035,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657205948114,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657256618022,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657306257963,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657356635093,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657406877040,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657456748962,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657506958961,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657557061910,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657607070922,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657657191038,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657707262992,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657757483005,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657807571887,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657857731103,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657907840967,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733657958018064,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658008075952,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658058134078,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658108519077,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658158478021,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658208600044,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658258631944,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658308949947,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658359409093,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658409414052,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658459633111,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658509850978,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658559655904,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658609848976,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658659929990,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658709968090,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658760128974,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658810405015,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658860228061,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658910532951,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733658960683107,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659010898113,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659061022043,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659111087083,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659160974025,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659210971117,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659246212959,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659296689987,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659346765995,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659396925926,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659447025060,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659497262954,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659547290086,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659597529888,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659647599935,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659697947025,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659747895002,0.35258102417,0.0,0.0,0.0,0.0,-0.0
1777733659794017076,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733659844438076,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733659894505023,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733659944695949,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733659994721889,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733660044794082,0.356094026566,0.0,0.0,0.0,0.0,-0.0
1777733660086503028,0.356094026566,0.0,0.0,0.0,0.0,0.00438177976757
1777733660136853933,0.356094026566,0.0,0.0,0.0,0.0,0.00438177976757
1777733660186728000,0.356094026566,0.0,0.0,0.0,0.0,0.00438177976757
1777733660234319925,0.356094026566,0.0,0.0,0.0,0.0,0.0166773481295
1777733660270469903,0.356094026566,0.0,0.0,0.0,0.0,0.0412684861571
1777733660320655107,0.356094026566,0.0,0.0,0.0,0.0,0.0412684861571
1777733660370608091,0.356094026566,0.0,0.0,0.0,0.0,0.0412684861571
1777733660420665979,0.356094026566,0.0,0.0,0.0,0.0,0.0412684861571
1777733660462421894,0.356094026566,0.0,0.0,0.0,0.0,0.102746322751
1777733660482590913,0.356094026566,0.0,0.0,0.0,0.0,0.115041893721
1777733660485985040,0.356094026566,0.0,0.0,0.0,0.0,0.151928596199
1777733660489942073,0.356094026566,0.0,0.0,0.0,0.0,0.176519727707
1777733660506581068,0.342041969299,0.0,0.0,0.0,0.0,0.213406440616
1777733660514333963,0.324476861954,0.0,0.0,0.0,0.0,0.311770987511
1777733660522556066,0.324476861954,0.0,0.0,0.0,0.0,0.33636212945
1777733660526251077,0.310424780846,0.0,0.0,0.0,0.0,0.397887444496
1777733660530241966,0.303398752213,0.0,0.0,0.0,0.0,0.434774136543
1777733660580503940,0.303398752213,0.0,0.0,0.0,0.0,0.434774136543
1777733660598275899,0.299885725975,0.0,0.0,0.0,0.0,0.5331387043
1777733660602368116,0.197994589806,0.0,0.0,0.0,0.0,1.16026011705
1777733660605928897,0.190968561172,0.0,0.0,0.0,0.0,1.19714689255
1777733660614309072,0.176916480064,0.0,0.0,0.0,0.0,1.27092027664
1777733660618043899,0.16989043951,0.0,0.0,0.0,0.0,1.32010256052
1777733660622374057,0.166377413273,0.0,0.0,0.0,0.0,1.3692848444
1777733660625798940,0.15935138464,0.0,0.0,0.0,0.0,1.4
1777733660630043983,0.155838358402,0.0,0.0,0.0,0.0,1.4
1777733660633955001,0.148812317848,0.0,0.0,0.0,0.0,1.4
1777733660637855052,0.138273262978,0.0,0.0,0.0,0.0,1.4
1777733660641840934,0.134760248661,0.0,0.0,0.0,0.0,1.4
1777733660645945072,0.127734208107,0.0,0.0,0.0,0.0,1.4
1777733660649907112,0.12422118187,0.0,0.0,0.0,0.0,1.4
1777733660653744935,0.120708167553,0.0,0.0,0.0,0.0,1.4
1777733660657789945,0.110169100761,0.0,0.0,0.0,0.0,1.4
1777733660662019968,0.103129506111,0.0,0.0,0.0,0.0,1.4
1777733660666435956,0.0996164858341,0.0,0.0,0.0,0.0,1.4
1777733660669800996,0.0925904452801,0.0,0.0,0.0,0.0,1.4
1777733660673820972,0.0890774250031,0.0,0.0,0.0,0.0,1.4
1777733660690243005,0.082051384449,0.0,0.0,0.0,0.0,1.4
1777733660698668956,0.0715123295784,0.0,0.0,0.0,0.0,1.4
1777733660702121019,0.0609732687473,0.0,0.0,0.0,0.0,1.4
1777733660709990978,0.0574602484703,0.0,0.0,0.0,0.0,1.4
1777733660713912010,0.0504342079163,0.0,0.0,0.0,0.0,1.4
